CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"6,760","-6,477","2,95,126",-,473.00,75.70,975,472.50,473.80,"5,395","22,650.00",-,-,0.05,"5,61,665",-75.05,0.05,13.13,"65,43,333","25,811","61,225",
,"13,409","-19,389","15,53,143",-,424.00,65.40,260,422.70,424.00,65,"22,700.00",-,-,0.05,"66,885",-86.40,0.05,11.86,"1,36,54,222","27,710","98,152",
,"7,976",-392,"16,92,360",-,372.65,51.05,130,372.65,373.90,715,"22,750.00",-,-,0.05,"2,88,860",-98.60,0.05,10.58,"1,12,28,272","44,728","68,622",
,"17,585","-4,321","53,11,933",-,322.70,36.00,455,322.70,323.70,"1,105","22,800.00",-,-,0.05,"1,26,100",-113.55,0.05,9.29,"1,84,23,070","63,998","1,19,783",
,"30,146","20,554","54,92,269",-,273.00,19.40,"8,645",273.00,273.60,"1,430","22,850.00",-,-,0.05,"21,45,000",-130.85,0.05,7.99,"1,42,43,428","80,944","98,733",
,"17,575","-13,858","1,34,76,611",-,223.10,0.40,"19,435",223.10,223.50,"2,210","22,900.00",-,-,0.05,"9,34,830",-149.75,0.05,6.68,"2,17,95,287","1,25,856","1,65,244",
,"28,187","12,735","1,27,48,003",-,173.40,-21.20,130,173.25,173.40,"1,365","22,950.00",-,-,0.05,"3,10,635",-170.20,0.05,5.34,"1,50,91,503","85,479","1,00,831",
,"64,884","-15,958","2,73,40,064",-,123.35,-45.55,130,123.35,123.40,"2,080","23,000.00",-,-,0.05,"1,68,480",-192.75,0.05,3.98,"1,80,99,174","1,44,976","1,93,617",
,"57,302","37,633","2,13,33,558",-,73.50,-70.95,"2,405",73.50,73.60,"15,275","23,050.00",-,-,0.05,"12,38,185",-217.75,0.05,2.57,"96,77,773","1,49,747","1,53,788",
,"1,58,923","1,23,947","3,33,08,572",-,23.60,-99.10,"4,66,440",23.60,23.65,"55,965","23,100.00",-,-,0.05,"50,28,725",-246.80,0.05,1.08,"1,41,42,315","4,01,865","4,10,069",
,"2,75,516","2,60,196","2,43,75,280",0.76,0.05,-103.15,-,-,0.05,"7,59,915","23,150.00",325,26.30,26.40,"45,565",-251.90,26.30,2.92,"35,73,977","50,587","52,401",
,"1,40,073","51,386","2,15,14,499",2.28,0.05,-85.85,-,-,0.05,"5,98,650","23,200.00",260,76.15,76.40,"1,235",-236.00,76.05,5.85,"12,04,811","15,450","23,747",
,"80,219","62,444","1,03,23,279",3.68,0.05,-72.05,-,-,0.05,"73,385","23,250.00",130,126.20,126.25,520,-222.40,125.90,8.37,"2,06,949","2,896","3,692",
,"1,10,004","63,230","1,00,72,550",5.04,0.05,-59.75,-,-,0.05,"1,64,190","23,300.00",130,176.05,176.20,"3,835",-207.80,176.05,10.82,"1,77,859",253,"3,363",
,"78,121","55,547","55,91,996",6.35,0.05,-49.50,-,-,0.05,"7,16,365","23,350.00",130,225.85,226.40,195,-200.15,225.80,12.97,"37,780",652,"1,075",
,"1,16,332","65,976","57,61,793",7.64,0.05,-40.50,-,-,0.05,"3,35,985","23,400.00",130,275.70,275.80,"1,235",-189.30,275.65,15.05,"48,660",471,"2,424",
,"50,962","36,558","26,37,522",8.91,0.05,-33.00,-,-,0.05,"7,60,370","23,450.00","1,430",325.75,326.80,260,-184.45,325.60,17.13,"3,654",-21,438,
,"1,85,106","69,113","49,33,107",10.16,0.05,-26.85,-,-,0.05,"11,81,960","23,500.00",520,375.75,376.00,"1,105",-174.40,375.85,19.36,"38,885","-3,241","5,757",
,"56,232","27,656","13,91,356",11.39,0.05,-21.50,-,-,0.05,"3,96,045","23,550.00",65,426.00,426.40,130,-172.70,425.40,21.03,"1,544",-62,379,
,"1,17,161","51,703","20,44,303",12.62,0.05,-17.15,-,-,0.05,"4,62,345","23,600.00",130,475.20,476.00,65,-172.00,474.90,22.57,"4,506",-677,"5,865",
